,FIPS,2008_perc
354,12077,72.8
355,12079,75.3
356,12081,75.3
357,12083,73.9
358,12085,78.0
359,12086,67.9
360,12087,75.4
361,12089,78.4
362,12091,79.9
363,12093,66.8
364,12095,76.4
365,12097,72.3
366,12099,76.7
367,12101,75.0
368,12103,78.5
369,12105,77.6
370,12107,74.6
371,12109,83.1
372,12111,70.9
373,12113,80.5
374,12115,76.7
375,12117,80.3
376,12119,76.4
377,12121,74.0
378,12123,76.9
379,12125,75.4
380,12127,76.5
381,12129,77.9
382,12131,74.3
383,12133,77.2
384,13001,76.5
385,13003,71.8
386,13005,76.9
387,13007,76.6
388,13009,80.1
389,13011,77.2
390,13013,77.5
391,13015,80.6
392,13017,78.5
393,13019,78.6
394,13021,82.1
395,13023,81.1
396,13025,74.3
397,13027,76.3
398,13029,82.0
399,13031,78.1
400,13033,80.2
401,13035,79.1
402,13037,78.6
403,13039,80.9
404,13043,71.7
405,13045,79.8
406,13047,81.3
407,13049,77.0
408,13051,80.9
409,13053,82.0
410,13055,78.0
411,13057,82.6
412,13059,78.3
413,13061,78.1
414,13063,76.9
415,13065,77.5
416,13067,83.6
417,13069,75.8
418,13071,72.1
419,13073,85.4
420,13075,75.4
421,13077,82.9
422,13079,76.4
423,13081,78.1
424,13083,79.5
425,13085,79.2
426,13087,77.4
427,13089,77.5
428,13091,77.3
429,13093,78.4
430,13095,80.3
431,13097,80.5
432,13099,81.4
433,13101,62.7
434,13103,82.0
435,13105,76.3
436,13107,74.4
437,13109,74.2
438,13111,74.9
439,13113,87.9
440,13115,78.6
441,13117,86.1
442,13119,79.4
443,13121,82.1
444,13123,72.5
445,13125,79.4
446,13127,79.2
447,13129,76.5
448,13131,73.7
449,13133,77.8
450,13135,77.9
451,13137,76.1
452,13139,74.6
453,13141,77.5
454,13143,77.8
455,13145,83.0
456,13147,79.9
457,13149,78.5
458,13151,84.1
459,13153,82.5
460,13155,76.1
461,13157,76.7
462,13159,78.7
463,13161,75.8
464,13163,78.2
465,13165,77.8
466,13167,75.6
467,13169,81.0
468,13171,79.0
469,13173,75.7
470,13175,79.5
471,13177,83.1
472,13179,82.7
473,13181,71.7
474,13183,73.4
475,13185,81.6
476,13187,75.8
477,13189,79.2
478,13191,76.7
479,13193,76.4
480,13195,75.6
481,13197,76.2
482,13199,78.2
483,13201,77.2
484,13205,77.4
485,13207,80.8
486,13209,75.6
487,13211,79.9
488,13213,77.3
489,13215,82.6
490,13217,80.1
491,13219,84.5
492,13221,75.1
493,13223,81.1
494,13225,78.7
495,13227,77.1
496,13229,76.7
497,13231,79.4
498,13233,76.9
499,13235,77.2
500,13237,78.5
501,13239,70.4
502,13241,75.1
503,13243,76.9
504,13245,80.7
505,13247,79.0
506,13249,77.2
507,13251,79.5
508,13253,77.0
509,13255,78.7
510,13257,79.2
511,13259,77.0
512,13261,79.0
513,13263,76.7
514,13265,69.7
515,13267,72.6
516,13269,76.8
517,13271,79.9
518,13273,77.4
519,13275,80.3
520,13277,75.7
521,13279,76.0
522,13281,75.7
523,13283,73.6
524,13285,81.2
525,13287,74.0
526,13289,78.4
527,13291,75.8
528,13293,77.7
529,13295,80.0
530,13297,79.5
531,13299,77.9
532,13301,76.6
533,13303,79.1
534,13305,78.3
535,13307,72.3
536,13309,73.7
537,13311,77.1
538,13313,73.1
539,13315,76.4
540,13317,77.9
541,13319,78.8
542,13321,78.2
543,15001,89.7
544,15003,93.2
545,15007,90.3
546,15009,90.5
547,16001,85.1
548,16003,71.4
549,16005,83.9
550,16007,80.2
551,16009,79.2
552,16011,78.2
553,16013,79.9
554,16015,76.6
555,16017,79.6
556,16019,82.5
557,16021,76.8
558,16023,77.5
559,16025,73.4
560,16027,76.9
561,16029,81.4
562,16031,76.2
563,16033,71.1
564,16035,78.8
565,16037,79.2
566,16039,80.0
567,16041,80.6
568,16043,73.6
569,16045,76.1
570,16047,73.4
571,16049,78.7
572,16051,78.8
573,16053,74.2
574,16055,81.6
575,16057,83.5
576,16059,77.4
577,16061,80.9
578,16063,69.7
579,16065,85.3
580,16067,76.3
581,16069,83.9
582,16071,81.2
583,16073,70.6
584,16075,76.7
585,16077,75.9
586,16079,81.4
587,16081,72.6
588,16083,78.1
589,16085,78.8
590,16087,77.2
591,17001,89.2
592,17003,86.0
593,17005,86.3
594,17007,86.7
595,17009,83.8
596,17011,87.1
597,17013,85.4
598,17015,86.5
599,17017,85.7
600,17019,88.8
601,17021,88.8
602,17023,88.3
603,17025,87.3
604,17027,88.2
605,17029,88.2
606,17031,82.7
607,17033,87.2
608,17035,87.2
609,17037,87.9
610,17039,88.7
611,17041,84.3
612,17043,90.5
613,17045,87.4
614,17047,87.7
615,17049,88.5
616,17051,85.9
617,17053,88.6
618,17055,84.8
619,17057,86.3
620,17059,84.2
621,17061,85.5
622,17063,89.2
623,17065,84.5
624,17067,88.2
625,17069,85.0
626,17071,83.8
627,17073,88.5
628,17075,86.6
629,17077,86.4
630,17079,87.3
631,17081,87.1
632,17083,87.5
633,17085,87.7
634,17087,84.5
635,17089,85.6
636,17091,87.2
637,17093,89.2
638,17095,87.6
639,17097,88.3
640,17099,87.0
641,17101,86.4
642,17103,88.0
643,17105,88.0
644,17107,88.4
645,17109,87.8
646,17111,90.3
647,17113,91.2
648,17115,88.6
649,17117,87.3
650,17119,89.6
651,17121,87.1
652,17123,89.0
653,17125,86.4
654,17127,87.7
655,17129,89.0
656,17131,87.9
657,17133,91.6
658,17135,87.0
659,17137,88.5
660,17139,87.7
661,17141,88.0
662,17143,89.6
663,17145,86.2
664,17147,88.5
665,17149,86.2
