,state,county,politics,color
35,New York,Orange,"[['Dem', 65.5, 82691], ['GOP', 33.1, 41771], ['Lib', 0.6, 738], ['Grn', 0.5, 649], ['Oth', 0.4, 477]]",democrat
36,New York,Chenango,"[['Dem', 59.4, 9843], ['GOP', 38.1, 6303], ['Grn', 0.9, 155], ['Lib', 0.8, 139], ['Oth', 0.7, 120]]",democrat
37,New York,Sullivan,"[['Dem', 65.8, 15490], ['GOP', 32.6, 7675], ['Grn', 0.8, 192], ['Lib', 0.5, 108], ['Oth', 0.4, 86]]",democrat
38,New York,Cortland,"[['Dem', 60.5, 10221], ['GOP', 36.8, 6209], ['Grn', 1.2, 209], ['Lib', 0.8, 132], ['Oth', 0.7, 115]]",democrat
39,New York,Tioga,"[['Dem', 54.6, 10455], ['GOP', 43.4, 8316], ['Lib', 0.8, 152], ['Grn', 0.7, 135], ['Oth', 0.5, 101]]",democrat
40,New York,Putnam,"[['Dem', 58.6, 22448], ['GOP', 40.0, 15317], ['Lib', 0.6, 221], ['Grn', 0.5, 178], ['Oth', 0.3, 128]]",democrat
41,New York,Herkimer,"[['Dem', 62.8, 13703], ['GOP', 35.5, 7741], ['Lib', 0.7, 146], ['Oth', 0.6, 121], ['Grn', 0.5, 110]]",democrat
42,New York,Schenectady,"[['Dem', 68.9, 39571], ['GOP', 29.3, 16819], ['Lib', 0.7, 405], ['Grn', 0.7, 389], ['Oth', 0.4, 238]]",democrat
43,New York,Seneca,"[['Dem', 59.5, 6795], ['GOP', 38.4, 4382], ['Grn', 0.9, 106], ['Lib', 0.8, 89], ['Oth', 0.5, 54]]",democrat
44,New York,Cattaraugus,"[['Dem', 55.9, 14617], ['GOP', 42.4, 11075], ['Lib', 0.6, 163], ['Oth', 0.6, 147], ['Grn', 0.5, 143]]",democrat
45,New York,Wyoming,"[['GOP', 49.3, 7050], ['Dem', 48.8, 6968], ['Oth', 0.7, 97], ['Grn', 0.7, 95], ['Lib', 0.5, 78]]",republican
46,New York,Westchester,"[['Dem', 70.1, 181784], ['GOP', 28.5, 73864], ['Grn', 0.6, 1588], ['Lib', 0.4, 1147], ['Oth', 0.3, 768]]",democrat
47,New York,Fulton,"[['Dem', 60.8, 10419], ['GOP', 37.8, 6478], ['Lib', 0.5, 87], ['Grn', 0.5, 79], ['Oth', 0.4, 73]]",democrat
48,New York,Tompkins,"[['Dem', 72.8, 25040], ['GOP', 24.0, 8275], ['Grn', 1.8, 635], ['Lib', 0.9, 302], ['Oth', 0.5, 162]]",democrat
49,New York,Onondaga,"[['Dem', 68.6, 124199], ['GOP', 28.8, 52132], ['Grn', 1.1, 1985], ['Oth', 1.0, 1790], ['Lib', 0.6, 1003]]",democrat
50,New York,Washington,"[['Dem', 67.7, 14125], ['GOP', 30.9, 6457], ['Grn', 0.6, 124], ['Lib', 0.5, 97], ['Oth', 0.3, 69]]",democrat
51,New York,Schuyler,"[['Dem', 57.6, 4109], ['GOP', 40.2, 2873], ['Grn', 0.9, 66], ['Lib', 0.7, 50], ['Oth', 0.6, 40]]",democrat
52,New York,Madison,"[['Dem', 59.2, 14490], ['GOP', 37.9, 9284], ['Grn', 1.2, 288], ['Oth', 0.9, 224], ['Lib', 0.8, 187]]",democrat
53,New York,Oneida,"[['Dem', 62.4, 47271], ['GOP', 35.4, 26852], ['Grn', 1.0, 755], ['Oth', 0.7, 496], ['Lib', 0.6, 418]]",democrat
54,New York,Jefferson,"[['Dem', 64.5, 19772], ['GOP', 34.1, 10436], ['Lib', 0.5, 146], ['Grn', 0.5, 145], ['Oth', 0.5, 141]]",democrat
55,New York,Lewis,"[['Dem', 61.3, 5341], ['GOP', 37.2, 3237], ['Grn', 0.6, 53], ['Oth', 0.6, 48], ['Lib', 0.4, 34]]",democrat
56,New York,Manhattan,"[['Dem', 87.2, 407147], ['GOP', 11.4, 53332], ['Grn', 0.8, 3677], ['Lib', 0.5, 2320], ['Oth', 0.1, 594]]",democrat
