id,perc
01001, 86.0
01003, 83.4
01005, 82.1
01007, 82.2
01009, 82.2
01011, 80.6
01013, 82.1
01015, 84.5
01017, 81.3
01019, 82.2
01021, 80.7
01023, 81.7
01025, 83.2
01027, 82.0
01029, 82.1
01031, 84.4
01033, 83.8
01035, 83.2
01037, 83.9
01039, 81.3
01041, 81.6
01043, 81.2
01045, 83.7
01047, 83.3
01049, 79.6
01051, 85.8
01053, 81.1
01055, 82.8
01057, 83.3
01059, 80.1
01061, 80.0
01063, 82.8
01065, 82.1
01067, 82.3
01069, 83.2
01071, 83.3
01073, 85.7
01075, 82.4
01077, 83.9
01079, 81.9
01081, 84.4
01083, 84.4
01085, 82.8
01087, 83.2
01089, 87.2
01091, 82.1
01093, 82.1
01095, 81.3
01097, 82.7
01099, 82.9
01101, 86.1
01103, 84.5
01105, 83.0
01107, 83.5
01109, 82.9
01111, 80.9
01113, 81.9
01115, 83.0
01117, 89.7
01119, 79.9
01121, 84.3
01123, 83.0
01125, 86.1
01127, 82.4
01129, 84.2
01131, 80.8
01133, 82.1
02013, 63.3
02016, 68.5
02020, 80.1
02050, 69.7
02060, 72.6
02068, 78.3
02070, 68.7
02090, 79.4
02100, 72.2
02105, 65.6
02110, 81.0
02122, 74.5
02130, 75.0
02150, 71.2
02164, 60.5
02170, 76.4
02180, 68.7
02185, 72.3
02188, 69.4
02220, 74.3
02230, 78.5
02240, 70.7
02261, 75.4
02270, 69.4
02282, 67.8
02290, 64.3
04001, 76.0
04003, 83.9
04005, 80.6
04007, 81.1
04009, 80.6
04011, 84.8
04012, 75.3
04013, 79.8
04015, 80.2
04017, 80.5
04019, 81.8
04021, 80.8
04023, 76.1
04025, 80.4
04027, 76.9
05001, 81.2
05003, 80.1
05005, 80.0
05007, 80.5
05009, 79.6
05011, 75.2
05013, 77.8
05015, 74.3
05017, 78.6
05019, 79.2
05021, 78.2
05023, 78.3
05025, 79.5
05027, 81.7
05029, 80.7
05031, 80.1
05033, 80.3
05035, 80.4
05037, 79.5
05039, 79.8
05041, 78.1
05043, 78.9
05045, 83.7
05047, 79.2
05049, 78.1
05051, 78.7
05053, 82.3
05055, 81.1
05057, 77.0
05059, 80.9
05061, 77.0
05063, 80.8
05065, 77.1
05067, 79.8
05069, 81.3
05071, 78.9
05073, 76.0
05075, 79.4
05077, 77.5
05079, 78.8
05081, 81.7
05083, 80.4
05085, 82.8
05087, 76.4
05089, 79.9
05091, 79.6
05093, 80.4
05095, 77.7
05097, 74.9
05099, 79.1
05101, 76.1
05103, 82.3
05105, 79.7
05107, 80.8
05109, 75.3
05111, 78.4
05113, 77.4
05115, 79.5
05117, 78.0
05119, 83.9
05121, 78.3
05123, 80.2
05125, 84.5
05127, 75.9
05129, 76.2
05131, 78.1
05133, 72.5
05135, 77.3
05137, 75.4
05139, 81.8
05141, 78.9
05143, 79.0
05145, 79.7
05147, 77.6
05149, 74.7
06001, 85.3
06003, 83.8
06005, 85.1
06007, 82.1
06009, 84.1
06011, 76.0
06013, 86.4
06015, 79.6
06017, 87.0
06019, 78.2
06021, 75.9
06023, 79.8
06025, 77.0
06027, 80.6
06029, 78.7
06031, 78.4
06033, 80.0
06035, 83.8
06037, 75.1
06039, 76.1
06041, 88.2
06043, 83.0
06045, 78.1
06047, 78.6
06049, 78.0
06051, 79.2
06053, 76.4
06055, 82.3
06057, 84.3
06059, 80.2
06061, 88.2
06063, 83.8
06065, 77.5
06067, 84.2
06069, 81.2
06071, 78.5
06073, 81.2
06075, 85.2
06077, 80.8
06079, 82.7
06081, 87.0
06083, 80.7
06085, 86.2
06087, 82.0
06089, 82.2
06091, 81.7
06093, 81.0
06095, 85.6
06097, 83.9
06099, 79.8
06101, 78.5
06103, 79.2
06105, 81.0
06107, 76.4
06109, 83.7
06111, 81.8
06113, 84.0
06115, 80.8
08001, 78.2
08003, 79.5
08005, 83.2
08007, 77.5
08009, 74.4
08011, 76.0
08013, 86.0
08014, 89.3
08015, 80.0
08017, 76.4
08019, 86.9
08021, 77.9
08023, 76.0
08025, 79.4
08027, 77.7
08029, 77.6
08031, 78.3
08033, 74.1
08035, 92.7
08037, 77.8
08039, 87.0
08041, 84.7
08043, 80.3
08045, 76.5
08047, 89.2
08049, 80.6
08051, 79.4
08053, 80.1
08055, 78.9
08057, 76.0
08059, 86.5
08061, 78.1
08063, 73.4
08065, 73.3
08067, 80.2
08069, 84.5
08071, 79.0
08073, 76.8
08075, 80.2
08077, 81.9
08079, 78.0
08081, 79.9
08083, 76.7
08085, 76.0
08087, 74.9
08089, 79.1
08091, 78.6
08093, 84.4
08095, 76.5
08097, 84.9
08099, 74.8
08101, 82.2
08103, 83.0
08105, 78.6
08107, 84.5
08109, 64.6
08111, 76.9
08113, 77.2
08115, 76.7
08117, 79.9
08119, 86.2
08121, 77.6
08123, 81.0
08125, 75.5
09001, 88.5
09003, 90.2
09005, 90.4
09007, 92.2
09009, 89.7
09011, 90.9
09013, 92.5
09015, 89.0
10001, 87.1
10003, 89.4
10005, 84.4
11001, 91.8
12001, 80.1
