id,perc
01001,86.1
01003,83.4
01005,81.1
01007,84.0
01009,81.9
01011,84.3
01013,83.6
01015,83.1
01017,82.1
01019,82.8
01021,79.8
01023,82.4
01025,81.6
01027,80.8
01029,83.3
01031,82.7
01033,85.0
01035,81.0
01037,83.9
01039,82.3
01041,80.8
01043,82.1
01045,84.4
01047,84.1
01049,76.7
01051,86.0
01053,80.7
01055,83.1
01057,84.1
01059,79.0
01061,81.6
01063,82.3
01065,80.9
01067,82.6
01069,83.8
01071,81.6
01073,84.9
01075,83.2
01077,84.8
01079,82.3
01081,83.2
01083,83.6
01085,82.6
01087,84.3
01089,85.0
01091,82.4
01093,82.7
01095,78.5
01097,81.4
01099,81.6
01101,83.5
01103,81.5
01105,80.4
01107,82.4
01109,79.7
01111,81.3
01113,82.3
01115,84.1
01117,87.9
01119,82.1
01121,84.3
01123,84.3
01125,85.1
01127,83.2
01129,81.8
01131,78.0
01133,81.9
02013,54.0
02016,64.5
02020,81.7
02050,71.3
02060,77.2
02068,80.7
02070,70.1
02090,78.9
02100,71.8
02105,67.6
02110,79.6
02122,77.0
02130,74.1
02150,70.4
02164,64.1
02170,78.3
02180,71.2
02185,75.9
02188,70.8
02220,74.7
02230,74.7
02240,72.9
02261,75.6
02270,69.9
02282,69.2
02290,63.7
04001,78.4
04003,81.2
04005,77.4
04007,80.4
04009,82.6
04011,85.6
04012,73.8
04013,80.4
04015,79.9
04017,78.8
04019,82.3
04021,80.6
04023,73.8
04025,80.9
04027,75.9
05001,80.3
05003,80.7
05005,79.6
05007,81.1
05009,80.2
05011,74.4
05013,78.7
05015,73.8
05017,78.3
05019,78.9
05021,78.5
05023,78.4
05025,80.9
05027,81.4
05029,80.5
05031,80.6
05033,79.5
05035,81.7
05037,79.6
05039,79.7
05041,79.7
05043,80.2
05045,82.8
05047,80.3
05049,77.4
05051,77.0
05053,83.4
05055,81.7
05057,76.3
05059,80.6
05061,75.7
05063,79.1
05065,77.5
05067,79.5
05069,83.1
05071,77.0
05073,78.3
05075,78.9
05077,80.1
05079,79.7
05081,81.6
05083,79.7
05085,83.5
05087,76.1
05089,77.8
05091,81.3
05093,81.0
05095,80.0
05097,76.0
05099,80.7
05101,76.3
05103,82.3
05105,81.0
05107,81.7
05109,75.7
05111,79.7
05113,75.4
05115,78.9
05117,78.2
05119,81.7
05121,79.5
05123,80.8
05125,83.9
05127,75.6
05129,75.0
05131,76.9
05133,69.0
05135,77.6
05137,75.9
05139,81.4
05141,78.0
05143,76.7
05145,80.0
05147,79.3
05149,72.9
06001,85.2
06003,82.4
06005,84.9
06007,80.2
06009,84.5
06011,75.7
06013,86.3
06015,82.7
06017,86.7
06019,77.6
06021,76.4
06023,79.6
06025,77.2
06027,79.6
06029,78.1
06031,78.8
06033,79.7
06035,85.4
06037,75.2
06039,75.9
06041,88.0
06043,83.5
06045,76.7
06047,77.9
06049,78.9
06051,76.6
06053,76.2
06055,81.5
06057,82.6
06059,80.7
06061,87.8
06063,81.7
06065,77.7
06067,83.8
06069,80.7
06071,78.3
06073,81.0
06075,86.1
06077,80.7
06079,81.7
06081,86.7
06083,77.8
06085,86.7
06087,81.9
06089,81.9
06091,79.9
06093,80.0
06095,85.7
06097,82.0
06099,79.9
06101,78.5
06103,78.8
06105,80.2
06107,75.8
06109,84.1
06111,81.5
06113,83.4
06115,81.4
08001,78.4
08003,80.0
08005,82.3
08007,79.7
08009,78.2
08011,82.6
08013,85.2
08014,88.8
08015,80.5
08017,77.2
08019,86.8
08021,77.7
08023,71.2
08025,82.0
08027,77.8
08029,78.3
08031,80.4
08033,74.9
08035,92.3
08037,77.0
08039,86.5
08041,84.6
08043,82.3
08045,75.4
08047,89.8
08049,80.4
08051,76.4
08053,77.0
08055,79.9
08057,74.9
08059,86.1
08061,82.0
08063,75.4
08065,72.8
08067,79.6
08069,85.0
08071,80.6
08073,80.5
08075,80.6
08077,81.9
08079,77.9
08081,81.5
08083,77.7
08085,77.0
08087,76.5
08089,80.5
08091,79.3
08093,82.3
08095,77.1
08097,82.2
08099,77.4
08101,84.7
08103,81.7
08105,78.1
08107,84.2
08109,68.6
08111,80.1
08113,79.0
08115,78.1
08117,78.9
08119,85.7
08121,77.2
08123,82.2
08125,76.9
09001,88.3
09003,90.0
09005,91.5
09007,92.2
09009,90.1
09011,91.0
09013,92.7
09015,89.9
10001,89.5
10003,89.6
10005,86.0
11001,91.7
12001,79.6
12003,82.1
12005,79.0
12007,80.0
12009,79.5
12011,74.0
12013,77.2
12015,77.4
12017,77.5
12019,83.0
12021,71.4
12023,78.1
12027,67.2
12029,78.5
12031,80.7
12033,79.1
12035,77.3
12037,76.7
12039,76.2
12041,76.0
12043,67.1
12045,78.5
12047,79.1
12049,67.4
12051,65.0
12053,77.8
12055,72.0
12057,76.7
12059,77.2
12061,75.0
12063,80.7
12065,77.6
12067,73.2
12069,78.8
12071,73.8
12073,81.2
12075,73.7
12077,79.5
12079,77.1
12081,75.5
12083,75.8
12085,78.2
12086,65.6
12087,72.5
12089,81.1
12091,80.9
12093,70.7
12095,75.5
12097,73.6
12099,74.6
12101,79.0
12103,77.0
12105,76.6
12107,76.6
12109,84.6
12111,73.0
12113,81.6
12115,77.1
12117,79.9
12119,81.8
12121,76.2
12123,79.8
12125,80.3
12127,77.7
12129,82.0
12131,76.3
12133,77.7
13001,74.8
13003,66.1
13005,73.3
13007,80.6
13009,80.9
13011,75.6
13013,77.4
13015,76.5
13017,76.4
13019,74.4
13021,80.3
13023,81.8
13025,75.3
13027,75.0
13029,82.2
13031,74.2
13033,79.5
13035,78.8
13037,76.1
13039,83.0
13043,74.0
13045,77.4
13047,81.9
13049,78.8
13051,77.7
13053,84.5
13055,77.4
13057,81.7
13059,75.7
13061,79.0
13063,74.6
13065,78.1
13067,79.6
13069,74.5
13071,72.1
13073,84.6
13075,73.3
13077,82.9
13079,76.1
13081,79.2
13083,81.0
13085,77.6
13087,77.9
13089,76.1
13091,79.2
13093,76.2
13095,78.9
13097,79.4
13099,80.7
13101,64.6
13103,81.2
13105,75.5
13107,75.3
13109,73.6
13111,75.2
13113,86.9
13115,77.2
13117,84.6
13119,77.3
13121,77.6
13123,72.0
13125,80.6
13127,77.4
13129,74.6
13131,72.5
13133,77.1
13135,76.2
13137,74.3
13139,75.0
13141,78.8
13143,79.6
13145,85.2
13147,76.8
13149,79.4
13151,82.2
13153,82.4
13155, 75.6
13157, 78.8
13159, 76.1
13161, 74.5
13163, 77.5
13165, 74.2
13167, 78.5
13169, 81.8
13171, 79.0
13173, 72.8
13175, 80.8
13177, 84.2
13179, 80.1
13181, 76.2
13183, 73.9
13185, 75.7
13187, 75.8
13189, 80.1
13191, 77.5
13193, 75.0
13195, 77.3
13197, 75.9
13199, 78.7
13201, 78.5
13205, 78.2
13207, 82.0
13209, 76.1
13211, 79.2
13213, 75.5
13215, 81.3
13217, 78.7
13219, 85.0
13221, 75.4
13223, 81.8
13225, 78.0
13227, 78.8
13229, 77.2
13231, 79.6
13233, 76.0
13235, 79.5
13237, 77.0
13239, 75.8
13241, 71.0
13243, 78.1
13245, 79.7
13247, 77.2
13249, 77.7
13251, 79.1
13253, 77.5
13255, 79.0
13257, 78.1
13259, 77.9
13261, 77.7
13263, 78.8
13265, 73.6
13267, 73.2
13269, 77.9
13271, 77.0
