id,perc
0,01001,87.2
01003,84.2
01005,82.5
01007,84.9
01009,81.7
01011,82.5
01013,83.4
01015,84.7
01017,84.0
01019,83.3
01021,80.8
01023,83.9
01025,83.0
01027,81.2
01029,84.0
01031,84.0
01033,85.7
01035,81.8
01037,83.3
01039,82.7
01041,83.6
01043,81.9
01045,85.3
01047,85.5
01049,78.3
01051,86.8
01053,80.4
01055,83.3
01057,84.6
01059,79.9
01061,81.0
01063,84.0
01065,83.9
01067,83.3
01069,83.6
01071,82.9
01073,85.5
01075,83.1
01077,83.7
01079,81.8
01081,84.7
01083,84.0
01085,84.5
01087,84.7
01089,86.3
01091,84.8
01093,84.2
01095,81.4
01097,82.3
01099,83.5
01101,84.6
01103,83.1
01105,83.8
01107,83.5
01109,82.0
01111,81.8
01113,83.4
01115,84.7
01117,88.7
01119,82.8
01121,85.3
01123,84.0
01125,84.8
01127,84.2
01129,82.3
01131,82.0
01133,82.3
02013,58.4
02016,70.7
02020,80.2
02050,70.4
02060,75.9
02068,76.9
02070,71.0
02090,78.9
02100,68.9
02105,66.3
02110,81.2
02122,75.5
02130,75.3
02150,72.3
02164,66.3
02170,78.3
02180,71.6
02185,74.6
02188,69.8
02220,74.7
02230,74.3
02240,70.3
02261,75.2
02270,69.9
02282,63.7
02290,63.2
04001,74.7
04003,81.2
04005,75.2
04007,79.1
04009,78.9
04011,85.4
04012,73.1
04013,80.0
04015,76.9
04017,77.4
04019,81.2
04021,80.4
04023,73.4
04025,78.2
04027,72.7
05001,80.6
05003,81.4
05005,79.7
05007,81.1
05009,80.6
05011,76.3
05013,79.6
05015,73.1
05017,78.5
05019,81.5
05021,79.7
05023,79.4
05025,81.1
05027,81.0
05029,81.2
05031,80.4
05033,78.6
05035,82.3
05037,81.3
05039,80.4
05041,80.3
05043,80.6
05045,83.3
05047,80.0
05049,78.1
05051,78.6
05053,83.3
05055,81.8
05057,76.9
05059,82.4
05061,76.6
05063,79.2
05065,76.7
05067,80.2
05069,83.5
05071,76.4
05073,78.2
05075,79.0
05077,80.0
05079,79.7
05081,81.4
05083,80.2
05085,84.1
05087,75.9
05089,77.9
05091,81.4
05093,81.2
05095,78.7
05097,76.8
05099,81.4
05101,75.9
05103,83.6
05105,79.4
05107,82.1
05109,74.8
05111,79.7
05113,76.1
05115,79.2
05117,78.3
05119,83.2
05121,78.7
05123,81.5
05125,84.9
05127,76.3
05129,74.4
05131,77.8
05133,70.7
05135,76.2
05137,76.5
05139,81.7
05141,78.2
05143,79.2
05145,80.1
05147,78.9
05149,73.4
06001,85.3
06003,81.4
06005,84.7
06007,80.7
06009,83.5
06011,77.2
06013,86.2
06015,82.1
06017,86.6
06019,77.7
06021,77.1
06023,79.1
06025,77.4
06027,79.8
06029,79.0
06031,80.2
06033,79.4
06035,86.6
06037,75.5
06039,75.3
06041,87.7
06043,81.3
06045,78.1
06047,79.2
06049,77.8
06051,77.2
06053,76.5
06055,81.6
06057,83.3
06059,80.7
06061,87.2
06063,81.0
06065,77.5
06067,82.5
06069,81.3
06071,78.4
06073,81.6
06075,86.6
06077,80.5
06079,83.1
06081,86.9
06083,78.9
06085,86.6
06087,81.6
06089,81.0
06091,79.3
06093,81.1
06095,84.8
06097,82.1
06099,80.4
06101,80.0
06103,79.7
06105,80.3
06107,77.1
06109,82.8
06111,81.9
06113,83.9
06115,81.3
08001,78.1
08003,81.4
08005,82.4
08007,79.0
08009,78.7
08011,82.8
08013,86.4
08014,89.8
08015,81.4
08017,76.3
08019,87.5
08021,79.8
08023,72.0
08025,82.2
08027,79.4
08029,78.3
08031,80.9
08033,76.5
08035,92.5
08037,77.9
08039,87.1
08041,84.7
08043,83.5
08045,76.1
08047,89.3
08049,81.9
08051,78.8
08053,79.9
08055,78.7
08057,76.1
08059,86.9
08061,82.2
08063,78.0
08065,74.8
08067,80.2
08069,85.2
08071,82.1
08073,83.1
