id,perc
01001,86.7
01003,83.6
01005,82.4
01007,82.0
01009,80.6
01011,80.9
01013,82.9
01015,84.6
01017,83.0
01019,82.9
01021,81.0
01023,84.1
01025,83.2
01027,83.5
01029,82.4
01031,84.3
01033,84.3
01035,85.0
01037,84.6
01039,83.8
01041,81.7
01043,82.3
01045,86.3
01047,84.8
01049,79.9
01051,84.9
01053,79.7
01055,83.1
01057,83.7
01059,80.7
01061,82.4
01063,84.6
01065,83.2
01067,83.6
01069,84.9
01071,83.8
01073,85.9
01075,83.3
01077,84.3
01079,83.1
01081,87.2
01083,84.6
01085,84.0
01087,85.6
01089,86.8
01091,85.1
01093,83.7
01095,80.9
01097,83.1
01099,83.7
01101,86.8
01103,83.9
01105,83.5
01107,83.6
01109,83.7
01111,82.0
01113,82.6
01115,83.9
01117,89.7
01119,84.2
01121,85.4
01123,85.1
01125,86.3
01127,83.1
01129,84.1
01131,82.0
01133,82.8
02013,68.3
02016,71.8
02020,82.8
02050,74.0
02060,72.4
02068,77.5
02070,69.0
02090,82.3
02100,74.6
02105,69.7
02110,81.8
02122,76.6
02130,78.0
02150,75.1
02164,59.7
02170,76.9
02180,69.6
02185,75.0
02188,71.1
02220,76.7
02230,80.7
02240,70.5
02261,76.5
02270,71.3
02282,67.1
02290,69.3
04001,74.2
04003,82.1
04005,75.8
04007,79.7
04009,79.4
04011,81.8
04012,74.8
04013,79.7
04015,78.2
04017,75.9
04019,81.4
04021,78.5
04023,71.6
04025,77.3
04027,75.2
05001,80.8
05003,81.1
05005,78.7
05007,80.8
05009,80.2
05011,75.2
05013,73.8
05015,73.1
05017,80.6
05019,80.1
05021,78.3
05023,77.6
05025,78.2
05027,80.7
05029,80.1
05031,80.7
05033,79.9
05035,81.1
05037,77.8
05039,77.5
05041,77.9
05043,79.0
05045,83.3
05047,79.3
05049,78.4
05051,77.3
05053,80.9
05055,81.3
05057,76.7
05059,79.9
05061,79.1
05063,81.8
05065,78.0
05067,79.5
05069,80.5
05071,78.5
05073,77.2
05075,78.5
05077,77.3
05079,76.9
05081,80.6
05083,79.8
05085,80.5
05087,76.3
05089,80.0
05091,79.5
05093,80.0
05095,77.0
05097,73.3
05099,78.7
05101,73.8
05103,80.7
05105,77.1
05107,80.5
05109,74.6
05111,78.4
05113,76.3
05115,80.2
05117,77.2
05119,84.3
05121,79.4
05123,79.4
05125,82.0
05127,77.3
05129,78.9
05131,79.1
05133,75.1
05135,78.7
05137,77.0
05139,82.0
05141,76.7
05143,78.5
05145,79.0
05147,75.8
05149,74.5
06001,86.8
06003,80.0
06005,83.7
06007,81.7
06009,83.5
06011,73.9
06013,87.8
06015,80.2
06017,85.7
06019,79.3
06021,75.8
06023,79.1
06025,76.3
06027,78.8
06029,79.9
06031,78.2
06033,80.3
06035,83.0
06037,76.2
06039,75.4
06041,88.7
06043,83.2
06045,77.6
06047,78.2
06049,78.7
06051,79.1
06053,76.7
06055,83.7
06057,83.9
06059,81.5
06061,88.6
06063,83.3
06065,77.9
06067,85.8
06069,80.4
06071,79.1
06073,81.6
06075,87.3
06077,82.1
06079,82.9
06081,87.3
06083,81.1
06085,87.9
06087,83.1
06089,81.9
06091,79.8
06093,80.7
06095,86.5
06097,84.0
06099,80.6
06101,78.3
06103,80.0
06105,80.1
06107,75.9
06109,83.1
06111,82.4
06113,85.4
06115,82.2
08001,77.6
08003,78.5
08005,82.9
08007,75.9
08009,77.3
08011,74.8
08013,85.1
08014,88.1
08015,77.9
08017,77.2
08019,86.0
08021,77.4
08023,76.0
08025,78.7
08027,73.5
08029,75.9
08031,77.8
08033,71.0
08035,91.8
08037,77.6
08039,84.9
08041,83.5
08043,78.4
08045,73.1
08047,91.9
08049,80.0
08051,80.1
08053,75.1
08055,78.1
08057,72.9
08059,85.5
08061,76.9
08063,72.1
08065,67.7
08067,77.5
08069,85.4
08071,78.1
08073,75.7
08075,78.4
08077,79.9
08079,71.5
08081,77.6
08083,74.5
08085,73.0
08087,73.6
08089,79.2
08091,75.4
08093,82.1
08095,74.2
08097,86.7
08099,74.3
08101,81.2
08103,80.4
08105,77.1
08107,85.7
08109,69.7
08111,72.3
08113,76.6
08115,72.9
08117,79.1
08119,85.4
08121,74.5
08123,78.7
08125,74.5
09001,88.7
09003,90.4
09005,90.7
09007,91.8
09009,89.7
09011,90.5
09013,92.1
09015,87.7
10001,88.0
10003,89.8
10005,84.2
11001,91.4
12001,79.4
12003,78.7
12005,79.2
12007,75.4
12009,79.0
12011,75.5
12013,74.0
12015,75.6
12017,75.9
12019,80.9
12021,71.5
12023,77.8
12027,63.1
12029,76.2
12031,80.8
12033,79.2
12035,77.0
12037,68.9
12039,77.5
12041,74.1
12043,67.7
12045,73.5
12047,75.3
12049,65.2
12051,63.5
12053,75.5
12055,70.4
12057,79.0
12059,75.6
12061,73.5
12063,79.3
12065,77.4
12067,65.6
12069,75.9
12071,74.7
12073,83.4
12075,74.2
12077,72.8
12079,75.3
12081,75.3
12083,73.9
12085,78.0
12086,67.9
12087,75.4
12089,78.4
12091,79.9
12093,66.8
12095,76.4
12097,72.3
12099,76.7
12101,75.0
12103,78.5
12105,77.6
12107,74.6
12109,83.1
12111,70.9
12113,80.5
12115,76.7
12117,80.3
12119,76.4
12121,74.0
12123,76.9
12125,75.4
12127,76.5
12129,77.9
12131,74.3
12133,77.2
13001,76.5
13003,71.8
13005,76.9
13007,76.6
13009,80.1
13011,77.2
13013,77.5
13015,80.6
13017,78.5
13019,78.6
13021,82.1
13023,81.1
13025,74.3
13027,76.3
13029,82.0
13031,78.1
13033,80.2
13035,79.1
13037,78.6
13039,80.9
13043,71.7
13045,79.8
13047,81.3
13049,77.0
13051,80.9
13053,82.0
13055,78.0
13057,82.6
13059,78.3
13061,78.1
13063,76.9
13065,77.5
13067,83.6
13069,75.8
13071,72.1
13073,85.4
13075,75.4
13077,82.9
13079,76.4
13081,78.1
13083,79.5
13085,79.2
13087,77.4
13089,77.5
13091,77.3
13093,78.4
13095,80.3
13097,80.5
13099,81.4
13101,62.7
13103,82.0
13105,76.3
13107,74.4
13109,74.2
13111,74.9
13113,87.9
13115,78.6
13117,86.1
13119,79.4
13121,82.1
13123,72.5
13125,79.4
13127,79.2
13129,76.5
13131,73.7
13133,77.8
13135,77.9
13137,76.1
13139,74.6
13141,77.5
13143,77.8
13145,83.0
13147,79.9
13149,78.5
13151,84.1
13153,82.5
13155,76.1
13157,76.7
13159,78.7
13161,75.8
13163,78.2
13165,77.8
13167,75.6
13169,81.0
13171,79.0
13173,75.7
13175,79.5
13177,83.1
13179,82.7
13181,71.7
13183,73.4
13185,81.6
13187,75.8
13189,79.2
13191,76.7
13193,76.4
13195,75.6
13197,76.2
13199,78.2
13201,77.2
13205,77.4
13207,80.8
13209,75.6
13211,79.9
13213,77.3
13215,82.6
13217,80.1
13219,84.5
13221,75.1
13223,81.1
13225,78.7
13227,77.1
13229,76.7
13231,79.4
13233,76.9
13235,77.2
13237,78.5
13239,70.4
13241,75.1
13243,76.9
13245,80.7
13247,79.0
13249,77.2
13251,79.5
13253,77.0
13255,78.7
13257,79.2
13259,77.0
13261,79.0
13263,76.7
13265,69.7
13267,72.6
13269,76.8
13271,79.9
13273,77.4
13275,80.3
13277,75.7
13279,76.0
13281,75.7
13283,73.6
13285,81.2
13287,74.0
13289,78.4
13291,75.8
13293,77.7
13295,80.0
13297,79.5
13299,77.9
13301,76.6
13303,79.1
13305,78.3
13307,72.3
13309,73.7
13311,77.1
13313,73.1
13315,76.4
13317,77.9
13319,78.8
13321,78.2
15001,89.7
15003,93.2
15007,90.3
15009,90.5
16001,85.1
16003,71.4
16005,83.9
16007,80.2
16009,79.2
16011,78.2
16013,79.9
16015,76.6
16017,79.6
16019,82.5
16021,76.8
16023,77.5
16025,73.4
16027,76.9
16029,81.4
16031,76.2
16033,71.1
16035,78.8
16037,79.2
16039,80.0
16041,80.6
16043,73.6
16045,76.1
16047,73.4
16049,78.7
16051,78.8
16053,74.2
16055,81.6
16057,83.5
16059,77.4
16061,80.9
16063,69.7
16065,85.3
16067,76.3
16069,83.9
16071,81.2
16073,70.6
16075,76.7
16077,75.9
16079,81.4
16081,72.6
16083,78.1
16085,78.8
16087,77.2
17001,89.2
17003,86.0
17005,86.3
17007,86.7
17009,83.8
17011,87.1
17013,85.4
17015,86.5
17017,85.7
17019,88.8
17021,88.8
17023,88.3
17025,87.3
17027,88.2
17029,88.2
17031,82.7
17033,87.2
17035,87.2
17037,87.9
17039,88.7
17041,84.3
17043,90.5
17045,87.4
17047,87.7
17049,88.5
17051,85.9
17053,88.6
17055,84.8
17057,86.3
17059,84.2
17061,85.5
17063,89.2
17065,84.5
17067,88.2
17069,85.0
17071,83.8
17073,88.5
17075,86.6
17077,86.4
17079,87.3
17081,87.1
17083,87.5
17085,87.7
17087,84.5
17089,85.6
17091,87.2
17093,89.2
17095,87.6
17097,88.3
17099,87.0
17101,86.4
17103,88.0
17105,88.0
17107,88.4
17109,87.8
17111,90.3
17113,91.2
17115,88.6
17117,87.3
17119,89.6
17121,87.1
17123,89.0
17125,86.4
17127,87.7
17129,89.0
17131,87.9
17133,91.6
17135,87.0
17137,88.5
17139,87.7
17141,88.0
17143,89.6
17145,86.2
17147,88.5
17149,86.2
17151,84.3
17153,84.9
17155,87.9
17157,87.2
17159,87.2
17161,87.5
17163,87.9
17165,88.0
17167,89.5
17169,86.3
17171,85.9
17173,88.1
17175,85.6
17177,89.2
17179,89.7
17181,86.2
17183,87.0
17185,86.8
17187,88.3
17189,88.5
17191,85.6
17193,86.0
17195,87.6
17197,89.1
17199,87.2
17201,87.1
17203,90.7
18001,82.9
18003,85.5
18005,85.4
18007,82.5
18009,85.2
18011,88.7
18013,82.6
18015,84.1
18017,83.0
18019,84.3
18021,84.8
18023,81.6
18025,83.0
18027,78.5
18029,87.0
18031,85.3
18033,86.3
18035,85.3
18037,88.0
18039,79.5
18041,83.9
18043,86.1
18045,84.9
18047,84.7
18049,83.2
18051,87.3
18053,85.0
18055,82.6
18057,91.8
18059,88.9
18061,85.7
18063,88.8
18065,85.3
18067,86.7
18069,85.9
18071,83.4
18073,85.1
18075,83.3
18077,86.3
18079,83.5
18081,86.3
18083,84.3
18085,83.5
18087,74.6
18089,84.0
18091,84.5
18093,84.1
18095,83.0
18097,83.7
18099,81.7
18101,83.7
18103,85.5
18105,85.1
18107,85.3
18109,85.2
18111,82.4
18113,82.9
18115,84.9
18117,83.9
18119,83.3
18121,82.5
18123,84.8
18125,86.1
18127,86.7
18129,88.2
18131,82.9
18133,85.6
18135,83.2
18137,85.9
18139,83.8
18141,84.6
18143,83.6
18145,85.0
18147,86.0
18149,82.2
18151,84.6
18153,82.5
18155,82.4
18157,85.4
18159,86.1
18161,82.5
18163,86.3
18165,85.4
18167,84.3
18169,85.4
18171,84.5
18173,87.1
18175,82.3
18177,83.0
18179,86.6
18181,81.9
18183,87.5
19001,89.5
19003,88.3
19005,86.5
19007,88.9
19009,86.2
19011,90.8
19013,89.8
19015,90.4
19017,91.7
19019,88.4
19021,85.6
19023,90.3
19025,89.2
19027,91.0
19029,88.2
19031,90.0
19033,90.5
19035,89.3
19037,88.8
19039,88.5
19041,88.8
19043,88.8
19045,90.7
19047,86.3
19049,91.9
19051,85.2
19053,88.0
19055,89.8
19057,90.1
19059,90.1
19061,91.3
19063,86.9
19065,89.4
19067,89.0
19069,86.0
19071,89.3
19073,87.4
19075,90.5
19077,89.1
19079,90.2
19081,89.5
19083,88.7
19085,89.5
19087,93.3
19089,87.4
19091,89.1
19093,88.5
19095,91.7
19097,88.2
19099,90.3
19101,88.9
19103,91.4
19105,89.4
19107,88.3
19109,89.9
19111,89.7
19113,91.7
19115,86.6
19117,87.1
19119,88.6
19121,89.8
19123,89.5
19125,91.8
19127,88.1
19129,90.1
19131,88.7
19133,87.8
19135,88.2
19137,89.3
19139,89.7
19141,87.8
19143,85.8
19145,89.9
19147,88.0
19149,91.1
19151,87.8
19153,90.9
19155,89.3
19157,90.8
19159,86.6
19161,87.7
19163,89.7
19165,90.8
19167,89.4
19169,90.7
19171,88.6
19173,86.5
19175,90.0
19177,87.6
19179,89.7
19181,91.8
19183,88.1
19185,88.2
19187,90.1
19189,91.4
19191,90.6
19193,87.3
19195,89.0
19197,88.2
20001,87.1
20003,83.8
20005,87.3
20007,84.7
20009,83.0
20011,87.2
20013,84.6
20015,88.0
20017,83.6
20019,80.9
20021,86.1
20023,83.8
20025,83.5
20027,85.1
20029,86.3
20031,87.4
20033,81.9
20035,87.4
20037,86.5
20039,82.4
20041,86.9
20043,84.9
20045,86.7
20047,82.5
20049,80.4
20051,87.0
20053,85.1
20055,80.2
20057,79.5
