id,perc
01001,86.4
01003,80.9
01005,81.5
01007,82.3
01009,80.7
01011,83.8
01013,82.9
01015,83.9
01017,81.2
01019,81.2
01021,80.0
01023,82.1
01025,83.4
01027,81.2
01029,82.4
01031,81.9
01033,85.3
01035,81.4
01037,83.2
01039,82.5
01041,81.1
01043,81.1
01045,85.1
01047,83.9
01049,76.5
01051,85.7
01053,80.5
01055,81.7
01057,83.1
01059,76.8
01061,80.3
01063,81.9
01065,83.4
01067,81.7
01069,83.3
01071,81.4
01073,83.9
01075,82.7
01077,84.8
01079,81.0
01081,84.2
01083,83.3
01085,83.0
01087,83.6
01089,85.9
01091,83.2
01093,82.7
01095,78.5
01097,81.4
01099,81.6
01101,84.2
01103,81.1
01105,83.0
01107,82.6
01109,82.4
01111,81.8
01113,82.6
01115,84.8
01117,87.7
01119,81.2
01121,83.8
01123,82.7
01125,82.5
01127,83.3
01129,81.0
01131,82.4
01133,80.7
02013,58.8
02016,68.7
02020,81.6
02050,72.2
02060,77.9
02068,80.5
02070,70.1
02090,79.7
02100,71.1
02105,65.3
02110,80.7
02122,76.4
02130,76.7
02150,71.9
02164,66.1
02170,78.8
02180,70.7
02185,74.8
02188,71.1
02220,73.7
02230,75.7
02240,72.5
02261,75.0
02270,72.1
02282,70.3
02290,65.8
04001,78.6
04003,82.9
04005,78.6
04007,80.5
04009,81.4
04011,84.9
04012,74.5
04013,80.8
04015,79.6
04017,80.6
04019,81.8
04021,80.7
04023,76.1
04025,80.0
04027,76.1
05001,81.0
05003,80.1
05005,77.8
05007,80.6
05009,78.7
05011,72.8
05013,78.1
05015,70.9
05017,78.7
05019,79.2
05021,77.8
05023,76.7
05025,79.2
05027,81.1
05029,79.8
05031,79.3
05033,76.9
05035,81.4
05037,79.8
05039,80.2
05041,78.0
05043,80.6
05045,82.1
05047,79.4
05049,75.7
05051,76.8
05053,82.4
05055,80.4
05057,75.9
05059,80.3
05061,73.9
05063,79.8
05065,76.8
05067,77.4
05069,82.5
05071,75.6
05073,76.8
05075,78.8
05077,79.5
05079,79.4
05081,80.2
05083,80.1
05085,82.4
05087,73.9
05089,76.2
05091,80.4
05093,82.1
05095,79.4
05097,74.2
05099,79.8
05101,74.0
05103,81.2
05105,80.1
05107,83.0
05109,74.7
05111,79.8
05113,74.3
05115,79.9
05117,77.4
05119,81.7
05121,77.9
05123,81.3
05125,83.6
05127,74.2
05129,71.7
05131,76.2
05133,68.4
05135,77.7
05137,74.6
05139,81.7
05141,78.0
05143,76.7
05145,80.1
05147,77.8
05149,72.0
06001,84.9
06003,84.3
06005,84.2
06007,81.0
06009,83.5
06011,75.8
06013,85.7
06015,83.8
06017,86.4
06019,78.1
06021,77.4
06023,79.8
06025,77.4
06027,80.1
06029,76.6
06031,80.4
06033,79.8
06035,85.7
06037,74.1
06039,77.2
06041,88.2
06043,83.1
06045,78.5
06047,78.3
06049,77.5
06051,76.4
06053,75.7
06055,81.3
06057,82.5
06059,80.1
06061,87.6
06063,81.1
06065,76.6
06067,84.0
06069,79.5
06071,77.5
06073,80.9
06075,85.5
06077,80.6
06079,81.8
06081,86.6
06083,78.7
06085,86.2
06087,81.7
06089,82.3
06091,81.8
06093,80.5
06095,85.7
06097,82.5
06099,80.4
06101,78.4
06103,78.5
06105,79.8
06107,76.7
06109,83.7
06111,81.8
06113,83.8
06115,81.4
08001,77.0
08003,79.6
08005,81.7
08007,78.4
08009,74.2
08011,80.5
08013,85.3
08014,88.4
08015,79.7
08017,74.2
08019,88.0
08021,77.9
08023,70.8
08025,79.8
08027,77.1
08029,77.1
08031,79.3
08033,71.8
08035,92.7
08037,76.4
08039,86.9
08041,83.7
08043,83.7
08045,75.4
08047,88.2
08049,79.0
08051,76.0
08053,79.0
08055,79.3
08057,75.0
08059,85.5
08061,80.5
08063,73.5
08065,73.6
08067,80.5
08069,84.4
08071,80.3
08073,79.0
08075,80.6
08077,80.0
08079,77.1
08081,81.9
08083,78.1
08085,77.6
08087,76.3
08089,80.4
08091,77.9
08093,81.1
08095,75.4
08097,79.9
08099,75.7
08101,82.6
08103,81.3
08105,80.2
08107,82.9
08109,66.0
08111,76.6
08113,73.6
08115,74.9
08117,78.7
08119,85.3
08121,73.8
08123,81.0
08125,74.6
09001,88.0
09003,90.0
09005,91.0
09007,91.6
09009,89.5
09011,90.4
09013,92.4
09015,89.6
10001,89.3
10003,89.2
10005,85.3
11001,91.0
12001,79.7
12003,81.6
12005,77.8
12007,79.7
12009,79.3
12011,72.9
12013,76.6
12015,77.1
12017,77.9
12019,82.6
12021,70.5
12023,78.2
12027,65.6
12029,78.3
12031,80.7
12033,79.7
12035,76.7
12037,73.2
12039,76.1
12041,76.9
12043,67.2
12045,77.5
12047,78.1
12049,67.6
12051,65.5
12053,76.7
12055,71.5
12057,77.4
12059,78.8
12061,74.1
12063,81.4
12065,77.6
12067,71.7
12069,77.6
12071,72.8
12073,82.8
12075,76.5
12077,78.4
12079,77.3
12081,75.6
12083,75.3
12085,76.8
12086,64.2
12087,71.3
12089,80.9
12091,80.7
12093,71.1
12095,75.3
12097,72.9
12099,73.7
12101,77.8
12103,77.7
12105,75.6
12107,76.7
12109,83.7
12111,73.4
12113,80.3
12115,75.5
12117,79.6
12119,80.8
12121,75.7
12123,80.9
12125,79.3
12127,75.3
12129,81.6
12131,76.5
12133,78.1
13001,75.1
13003,68.0
13005,73.6
13007,77.4
13009,79.8
13011,74.3
13013,76.1
13015,77.8
13017,76.5
13019,75.9
13021,81.0
13023,80.6
13025,76.2
13027,74.8
13029,82.3
13031,77.0
13033,79.6
13035,80.0
13037,75.4
13039,82.6
13043,73.1
13045,77.7
13047,80.8
13049,79.0
13051,78.7
13053,84.9
13055,77.7
13057,82.1
13059,77.2
13061,79.3
13063,72.7
13065,78.1
13067,80.2
13069,74.9
13071,73.4
13073,84.2
13075,74.5
13077,82.4
13079,76.6
13081,79.0
13083,78.9
13085,78.3
13087,77.2
13089,74.2
13091,78.3
13093,76.3
13095,79.7
13097,79.7
13099,80.2
13101,63.7
13103,82.7
13105,75.9
13107,73.5
13109,74.3
13111,73.6
13113,87.2
13115,78.1
13117,85.5
13119,75.8
13121,77.1
13123,72.3
13125,80.2
13127,77.0
13129,74.8
13131,73.1
13133,77.6
13135,75.5
13137,73.5
13139,74.2
13141,78.0
13143,79.4
13145,84.3
13147,76.5
13149,79.2
13151,81.8
13153,82.0
13155, 74.4
13157, 78.6
13159, 77.3
13161, 74.8
13163, 77.8
13165, 74.2
13167, 77.2
13169, 81.0
13171, 78.0
13173, 74.6
13175, 81.8
13177, 83.3
13179, 82.5
13181, 74.9
13183, 73.7
13185, 77.6
13187, 76.4
13189, 80.0
13191, 76.7
13193, 76.5
13195, 75.8
13197, 74.5
13199, 78.3
13201, 78.5
13205, 79.0
13207, 81.5
13209, 75.4
13211, 78.6
13213, 75.0
13215, 80.5
13217, 78.9
13219, 83.8
13221, 76.1
13223, 82.4
13225, 77.7
13227, 79.5
13229, 76.9
13231, 79.2
13233, 75.8
13235, 78.6
13237, 76.2
13239, 75.8
13241, 72.3
13243, 77.9
13245, 80.4
13247, 77.6
13249, 78.0
13251, 77.6
13253, 78.6
13255, 78.3
13257, 76.1
13259, 78.6
13261, 78.0
13263, 79.7
13265, 73.7
13267, 72.3
13269, 78.5
13271, 76.6
13273, 79.2
13275, 79.4
13277, 75.3
13279, 76.1
13281, 76.2
13283, 77.3
13285, 79.3
13287, 75.1
13289, 77.4
13291, 74.0
13293, 78.7
13295, 78.2
13297, 79.2
13299, 77.6
13301, 79.3
13303, 78.2
13305, 76.6
13307, 72.9
13309, 76.8
13311, 74.8
13313, 73.2
13315, 76.4
13317, 77.4
13319, 79.9
13321, 77.8
15001, 88.3
15003, 92.1
15007, 90.2
15009, 88.9
16001, 83.5
16003, 73.3
16005, 81.9
16007, 79.7
16009, 77.6
16011, 76.1
16013, 76.2
16015, 78.6
16017, 78.7
16019, 82.6
16021, 75.6
16023, 79.0
16025, 71.2
16027, 77.3
16029, 80.7
16031, 75.3
16033, 67.9
16035, 78.8
16037, 80.2
16039, 78.3
16041, 76.9
16043, 72.3
16045, 77.1
16047, 71.0
16049, 75.8
16051, 78.5
16053, 71.6
16055, 79.9
16057, 83.3
16059, 77.0
16061, 78.0
16063, 71.0
16065, 83.8
16067, 74.8
16069, 83.6
16071, 79.6
16073, 67.3
16075, 76.6
16077, 73.9
16079, 80.1
16081, 70.4
16083, 76.2
16085, 75.8
16087, 73.7
17001, 87.9
17003, 86.2
17005, 87.5
17007, 85.6
17009, 87.9
17011, 86.1
17013, 85.5
17015, 85.9
17017, 84.4
17019, 85.0
17021, 87.2
17023, 86.7
17025, 86.2
17027, 88.2
17029, 86.2
17031, 80.3
17033, 87.4
17035, 86.3
17037, 86.3
17039, 88.6
17041, 82.9
17043, 89.0
17045, 86.6
17047, 87.0
17049, 88.0
17051, 85.8
17053, 87.5
17055, 85.5
17057, 86.4
17059, 84.7
17061, 86.2
17063, 88.9
17065, 85.9
17067, 85.9
17069, 86.7
17071, 83.5
17073, 88.7
17075, 86.9
17077, 82.9
17079, 86.0
17081, 86.6
17083, 87.8
17085, 86.0
17087, 86.9
17089, 84.9
17091, 85.5
17093, 88.8
17095, 86.4
17097, 87.0
17099, 86.6
17101, 85.7
17103, 87.4
17105, 88.4
17107, 88.6
17109, 82.7
17111, 88.3
17113, 89.4
17115, 87.8
17117, 88.0
17119, 88.4
17121, 86.4
17123, 86.4
17125, 86.1
17127, 87.1
17129, 88.8
17131, 88.1
17133, 90.8
17135, 87.0
17137, 87.9
17139, 85.8
17141, 87.4
17143, 87.6
17145, 86.7
17147, 88.8
17149, 85.0
17151, 84.9
17153, 83.7
17155, 87.4
17157, 88.3
17159, 87.1
17161, 85.8
17163, 87.7
17165, 87.4
17167, 88.8
17169, 84.7
17171, 87.1
17173, 87.5
17175, 87.7
17177, 87.0
17179, 90.0
17181, 86.2
17183, 86.4
17185, 86.2
17187, 85.3
17189, 88.3
17191, 85.8
17193, 86.2
17195, 85.7
17197, 87.7
17199, 86.3
17201, 84.7
17203, 90.6
18001, 79.4
18003, 82.9
18005, 84.0
